nombre,procedencia,edad,ocupacion,ranking,edicion,sexo,ocupacion2
Juan Manuel Sánchez, Almería,26,Camarero,1,1,M,Hostelería
Eva M. Millán, Córdoba,32,Bióloga y nutricionista,2,1,F,Salud
Fabián León, Mallorca,18,Estudiante de Publicidad,3,1,M,Estudiante
José David Moliner, Valencia,33,Ingeniero informático,4,1,M,Ingeniería
Maribel Gil, Castellón,59,Ama de casa,5,1,F,Ama/o de casa
José Antonio Cerezo, Teruel,37,Soldador,6,1,M,Oficio manual
Clara Pérez Villalón, Madrid,22,Estudiante de Economía,7,1,F,Estudiante
María de la Fuente, Alicante,23,Maquilladora y esteticista,8,1,F,Belleza
José Luis Asín, Navarra,58,Policía Foral,9,1,M,Defensa
Noé Carmona, Córdoba,31,Administrador de ingresos,10,1,M,Administrativo/a
Santiaga Muñoz, Ciudad Real,52,Ama de casa,11,1,F,Ama/o de casa
Efrén Álvarez, Lugo,24,Estudiante de CAF,12,1,M,Estudiante
Nati Sánchez, Álava,42,Asistente administrativo,13,1,F,Administrativo/a
Juanma Villar (†), Madrid,48,Ingeniero de Telecomunicaciones,14,1,M,Ingeniería
Paloma Ayensa, Madrid,22,Estudiante de Derecho,15,1,F,Estudiante
Vicky Pulgarín, Mallorca,31,Carnicera en paro,1,2,F,Oficio alimentación
Mateo Sierra, Huesca,20,Estudiante de Historia del Arte,2,2,M,Estudiante
Cristóbal Gómez, Granada,32,Camarero,3,2,M,Hostelería
Emil Samper, Barcelona,44,Realizador de publicidad,4,2,M,Publicidad y márqueting
Lorena Lasanta, Málaga,39,Ingeniera de sonido y DJ,5,2,F,Ingeniería
Cristina Romero, Madrid,46,Empresaria,6,2,F,Empresario/a
Milagrosa Gavilán, Cádiz,50,Dependienta,7,2,F,Moda
Marina Rodríguez, Mallorca,46,Ex asistente de dirección,8,2,F,Administrativo/a
Gonzalo Ribot, Mallorca,48,Profesor de Yoga,9,2,M,Yoga o artes marciales
Celia Lastres, Madrid,27,Técnico de radioterapia,10,2,F,Salud
Jorge Cuéllar, Segovia,35,Doctor en Biología molecular,11,2,M,Salud
Miguel Ángel Martínez, Madrid,41,Oficial funerario,12,2,M,Tanatorio
Churra Costa, Pontevedra,71,Ama de casa,13,2,F,Ama/o de casa
Daniel Díez, Valencia,34,Arquitecto,14,2,M,Arquitectura
Lola Hidalgo, Córdoba,22,Estudiante de Ciencias Ambientales,15,2,F,Estudiante
Carlos Maldonado, Toledo,25,Vendedor ambulante,1,3,M,Vendedor ambulante
Sally Stephanih Caballero, Ciudad Real,31,Auxiliar de óptica,2,3,F,Salud
Andrea Vicens, Barcelona,22,Estudiante de Odontología y modelo,3,3,F,Estudiante
Antonio Romero, Sevilla,26,Técnico de laboratorio,4,3,M,Salud
Kevin Bordas, Tarragona,22,Camarero y modelo,5,3,M,Hostelería
Lidia Folgar, Pontevedra,29,Nutricionista,6,3,F,Salud
Mila Calabuig, Valencia,58,Empresaria de calzado,7,3,F,Empresario/a
Fidel López, Alicante,36,Camarero,8,3,M,Hostelería
